farm_id,farmer_id,state,district,village,area_in_acres,calculated_area_in_acres,lon,lat
12176,8931,HARYANA,AMBALA,Shardehdi,5.0,5.17,77.16002059042974,30.317192292938948
8365,6485,PUNJAB,BARNALA,karamgarh,9.0,8.71,75.6273733276438,30.44923069975981
9979,7566,PUNJAB,MUKTSAR,Sahib chand,3.0,2.57,74.6997484191096,30.307388678683072
9978,7566,PUNJAB,MUKTSAR,Sahib chand,6.0,6.24,74.70885035973883,30.3128224491992
9977,7566,PUNJAB,MUKTSAR,Sahib chand,4.0,3.67,74.69101695132167,30.3083059075275
11786,8656,HARYANA,YAMUNANAGAR,Daulatpur,5.0,4.34,77.09927284934548,30.089428529760134
11785,8656,HARYANA,YAMUNANAGAR,Daulatpur,1.0,0.78,77.10188782423279,30.091633720941967
9092,6977,PUNJAB,BARNALA,barnala,10.0,10.32,75.52391959815655,30.384666699989257
5296,4231,HARYANA,FATEHABAD,Haroli,15.0,12.85,75.48096637638771,29.646150485687304
7224,5974,PUNJAB,MUKTSAR,Sukhan abluo,15.0,15.48,74.64752652322504,30.340112060514652
12063,3575,PUNJAB,LUDHIANA,Chak bhai ka,18.3,22.76,75.512051527204,30.362791802391175
12057,3746,PUNJAB,LUDHIANA,Dadhahoor,22.5,25.35,75.51916779973047,30.367448219935472
8950,6889,PUNJAB,MUKTSAR,Bhalaiana,4.733,4.4,74.71810782951741,30.348338235280934
7727,5775,HARYANA,KURUKSHETRA,Chiba,11.0,12.5,76.79477496100775,30.062204170794164
7429,6014,PUNJAB,FAZILKA,Rajawali,9.6,9.12,74.24430665560038,30.062557217424512
7275,6014,PUNJAB,FAZILKA,Rajawali,8.0,7.82,74.26976885532324,30.079098827307273
13538,9808,HARYANA,SIRSA,Kariwala,13.386,13.37,74.66695325125144,29.525312183087443
9964,6771,HARYANA,KURUKSHETRA,Bir amin,50.0,50.43,76.83618218144957,29.93672880170221
8772,6771,HARYANA,KURUKSHETRA,Bir amin,50.0,47.66,76.90516318126991,29.911705755747484
13365,9705,HARYANA,KAITHAL,Kharkra,2.2,2.3,76.26936638013662,29.95395592227427
9093,5133,PUNJAB,BARNALA,sanghera,18.0,16.05,75.52094951271096,30.38471887060658
9090,6975,HARYANA,KURUKSHETRA,Sunehri,10.0,12.36,76.81758514527566,29.915688392583604
9189,7041,HARYANA,KARNAL,Kharak,9.0,8.32,77.1619944703424,29.90988995344243
