farm_id,control_plot_id,soil_class,equlidian_distance,similarity_weight,centroid
15893,15893_10,7,0.509498932,0.184357695,"30.1584203815174,74.8963181612378"
26242,26242_23,7,0.277565878,0.229204551,"29.395930368356755,76.43064066651394"
26242,26242_13,7,0.316212919,0.201191534,"29.396289694470397,76.44034247158244"
26242,26242_27,7,0.319092442,0.199375961,"29.403835542857003,76.44177977603704"
26242,26242_37,7,0.343307594,0.185313006,"29.403476216743353,76.43818651490055"
26242,26242_26,7,0.344046617,0.184914948,"29.396289694470397,76.43028134040028"
4032,4032_15,7,0.445044213,0.228327476,"29.68949980320701,76.92040215941591"
4032,4032_33,7,0.504578066,0.201387711,"29.687703172638766,76.91177833268837"
4032,4032_32,7,0.521294847,0.194929649,"29.689140477093364,76.92291744221144"
4032,4032_38,7,0.528800781,0.192162768,"29.690937107661593,76.91213765880201"
4032,4032_27,7,0.554694539,0.183192396,"29.691296433775246,76.9067477670973"
17284,17284_0,7,0.482272144,0.225350726,"30.17710533942709,76.98400288153157"
17284,17284_5,7,0.514700959,0.211152468,"30.17710533942709,76.98364355541793"
17284,17284_38,7,0.53768869,0.202125096,"30.17602736108614,76.98400288153158"
17284,17284_2,7,0.60058605,0.180957213,"30.17854872345718,76.98168885588672"
17284,17284_4,7,0.60239271,0.180414497,"30.176386687199784,76.98975209934996"
5692,5692_32,7,0.398635159,0.210844983,"29.66039438800153,75.51004716334828"
5692,5692_23,7,0.40097937,0.209612338,"29.66941497779906,75.51206649230633"
5692,5692_21,7,0.424630276,0.197937425,"29.669981742184454,75.51194369802286"
5692,5692_22,7,0.436629676,0.192497734,"29.658957083546944,75.51938964230311"
5692,5692_12,7,0.444457329,0.18910752,"29.658957083546944,75.51220312003014"
5080,5080_28,7,0.460845449,0.228249814,"29.597152991999526,76.7428950592739"
5080,5080_37,7,0.480394911,0.218961287,"29.59104444806751,76.74002045036471"
5080,5080_47,7,0.563486527,0.186673297,"29.591044448067507,76.73678651534188"
5080,5080_33,7,0.5668057,0.185580152,"29.58905967264381,76.74041465945575"
5080,5080_35,7,0.582643948,0.180535451,"29.59787164422682,76.73067797140988"
15726,15726_23,4,0.41253595,0.218705828,"30.350380012832968,74.62757878109052"
15726,15726_49,4,0.427118616,0.211238783,"30.35200451418611,74.6286428866688"
15726,15726_42,4,0.455134987,0.198235731,"30.35030052620533,74.63221346770666"
15726,15726_30,4,0.481793464,0.187267,"30.349154988116826,74.62308539277893"
15726,15726_0,4,0.488879531,0.184552657,"30.348339768006976,74.6308724896019"
1966,1966_2,4,0.501588862,0.249485908,"29.94150603878369,76.30444863116557"
1966,1966_38,4,0.606618244,0.206290123,"29.940060885750594,76.31278170123747"
1966,1966_44,4,0.672665955,0.186034913,"29.93491953882846,76.30164259171438"
1966,1966_17,4,0.691402915,0.180993383,"29.93420088660117,76.31026641844193"
1966,1966_20,4,0.706221267,0.177195673,"29.93923145219224,76.31996822351043"
10475,10475_27,7,0.529339678,0.213010003,"30.25364180163407,74.82732754741743"
10475,10475_4,7,0.533335746,0.211414005,"30.24693668270965,74.81243061686543"
10475,10475_36,7,0.578893998,0.194775981,"30.24968921438394,74.82768687353108"
10475,10475_19,7,0.591742262,0.190546887,"30.242143365997336,74.81295450287152"
10475,10475_49,7,0.592655952,0.190253124,"30.250767192724883,74.82589024296283"
8228,8228_1,4,0.431997017,0.217357125,"29.985225194739154,76.74253573316025"
8228,8228_21,4,0.473583508,0.19827048,"29.984718339529017,76.73175368494168"
